ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Hawkins: Building North - Facade"
,"Scope",,
,"Rows"
,,"North Building","grouping","building b201 north","facade","envelope"
,,"Line 1 Wynyard St - Subsoil drainage along Wynyard St",,"bassett uoa - b201","line 1 wynyard st - subsoil drainage along wynyard st","3. subsoil drainage"
,,"4. Watermain","grouping","bassett uoa - b201","4. watermain"
,,"Line 1 Wynyard St - Watermain Wynyard St",,"bassett uoa - b201","4. watermain","line 1 wynyard st - watermain wynyard st"
,,"Line 2. South Alley Way - Watermain South Alley way",,"bassett uoa - b201","4. watermain","line 2. south alley way - watermain south alley way"
,,"Line 3.Symonds Street - Watermain Symonds Street",,"line 3.symonds street - watermain symonds street","bassett uoa - b201","4. watermain"
,,"5.Gasmain","grouping","bassett uoa - b201","5.gasmain"
,,"Line1 South Alley Way - Gasmain South Alley way",,"bassett uoa - b201","5.gasmain","line1 south alley way - gasmain south alley way"
,,"Line 2 Symonds Street - Gasmain Symonds Street",,"line 2 symonds street - gasmain symonds street","bassett uoa - b201","5.gasmain"
,,"6.Firemain","grouping","bassett uoa - b201","6.firemain"
,,"Line1 South Alley Way - Firemain South Alley Way",,"bassett uoa - b201","6.firemain","line1 south alley way - firemain south alley way"
,,"7.Civil","grouping","bassett uoa - b201","7.civil"
,,"Line 1 Wynyard St",,"line 1 wynyard st","bassett uoa - b201","7.civil"
,,"Line 2. South Alley Way",,"line 2. south alley way","bassett uoa - b201","7.civil"
,,"Line 3.Symonds Street",,"bassett uoa - b201","7.civil","line 3.symonds street"
,"Columns"
,,"Overall Progress",,"bassett uoa - b201"

"Numecon: Overall Progress"
,"Scope",,
,"Rows"
,,"Building East","dynamic","building east","numecon b201"
,,"Level 1",,"level 1","numecon b201"
,,"Level 2",,"level 2","numecon b201"
,,"Level 3",,"numecon b201","level 3"
,,"Level 4",,"level 4","numecon b201"
,,"Level 5",,"level 5","numecon b201"
,,"Level 6",,"level 6","numecon b201"
,,"Level 7",,"level 7","numecon b201"
,,"Level 8",,"level 8","numecon b201"
,,"Level 9",,"level 9","numecon b201"
,,"Level 10",,"level 10","numecon b201"
,,"Level 11",,"level 11","numecon b201"
,,"Building North","dynamic","building north","numecon b201"
,,"Level 2",,"level 2","numecon b201"
,,"Level 3",,"numecon b201","level 3"
,,"Level 4",,"level 4","numecon b201"
,,"Level 5",,"level 5","numecon b201"
,,"Level 6",,"level 6","numecon b201"
,,"Level 7",,"level 7","numecon b201"
,,"Level 8",,"level 8","numecon b201"
,,"Atrium","dynamic","atrium","numecon b201"
,,"Level 1",,"level 1","numecon b201"
,,"Level 2",,"level 2","numecon b201"
,,"Level 3",,"numecon b201","level 3"
,,"Level 4",,"level 4","numecon b201"
,"Columns"
,,"AHU",,"numecon b201","ahu"
,,"Fans",,"numecon b201","fans"
,,"Chilled Beams",,"chilled beams","numecon b201"
,,"VAV",,"vav","numecon b201"
,,"Pumps",,"pumps","numecon b201"
,,"VRF",,"numecon b201","vrf"
,,"VAV",,"vav","numecon b201"
,,"Fire",,"fire","numecon b201"
,,"Coil",,"coil","numecon b201"
,,"Humid",,"numecon b201","humid"

"Chubb: Overall Progress (Building North)"
,"Scope",,
,"Rows"
,,"Level 2 Zone B","grouping","chubb auckland uni - b201","level 2 zone b","building north"
,,"200S6 - Stair 6",,"level 2 zone b","building north","chubb auckland uni - b201","200s6 - stair 6"
,,"265 Pool Teaching",,"level 2 zone b","building north","chubb auckland uni - b201","265 pool teaching"
,,"296 BOH - Plantroom",,"level 2 zone b","building north","296 boh - plantroom","chubb auckland uni - b201"
,,"293 - Lecture theatre",,"level 2 zone b","building north","chubb auckland uni - b201","293 - lecture theatre"
,,"295 - MSB Room",,"level 2 zone b","building north","chubb auckland uni - b201","295 - msb room"
,,"Level 3 Zone B","grouping","level 3 zone b","chubb auckland uni - b201","building north"
,,"300L1 - Wind Lobby",,"building north","level 3 zone b","chubb auckland uni - b201","300l1 - wind lobby"
,,"393 - Lecture theatre",,"building north","level 3 zone b","393 - lecture theatre","chubb auckland uni - b201"
,,"393A - Comms",,"building north","level 3 zone b","chubb auckland uni - b201","393a - comms"
,,"393 - Lecture theatre",,"building north","level 3 zone b","393 - lecture theatre","chubb auckland uni - b201"
,,"300L7 - Lobby",,"300l7 - lobby","building north","level 3 zone b","chubb auckland uni - b201"
,,"377 - Virtual Learning",,"building north","level 3 zone b","377 - virtual learning","chubb auckland uni - b201"
,,"390 - Comms",,"390 - comms","building north","level 3 zone b","chubb auckland uni - b201"
,,"375 - CALS - Large",,"building north","level 3 zone b","chubb auckland uni - b201","375 - cals - large"
,,"300C5 - Circulation",,"300c5 - circulation","building north","level 3 zone b","chubb auckland uni - b201"
,,"367 - CALS - Large",,"building north","level 3 zone b","chubb auckland uni - b201","367 - cals - large"
,,"365 - CALS-Small",,"building north","level 3 zone b","365 - cals-small","chubb auckland uni - b201"
,,"397 - Student Kitchen",,"building north","level 3 zone b","397 - student kitchen","chubb auckland uni - b201"
,,"Level 4 Zone B","grouping","chubb auckland uni - b201","building north","level 4 zone b"
,,"400L2 - Wind Lobby",,"400l2 - wind lobby","building north","level 4 zone b","chubb auckland uni - b201"
,,"491 - Breakout",,"building north","level 4 zone b","491 - breakout","chubb auckland uni - b201"
,,"400C1 - Circulation",,"400c1 - circulation","building north","level 4 zone b","chubb auckland uni - b201"
,,"400L1 - Wind Lobby",,"400l1 - wind lobby","building north","level 4 zone b","chubb auckland uni - b201"
,,"492 - Breakout",,"492 - breakout","building north","level 4 zone b","chubb auckland uni - b201"
,,"400S6 - Stair 6",,"building north","level 4 zone b","chubb auckland uni - b201","400s6 - stair 6"
,,"400C11 - Circulation",,"building north","level 4 zone b","chubb auckland uni - b201","400c11 - circulation"
,,"479 - Food Tech",,"479 - food tech","building north","level 4 zone b","chubb auckland uni - b201"
,,"490 - DB",,"building north","level 4 zone b","chubb auckland uni - b201","490 - db"
,,"490A - Comms",,"building north","level 4 zone b","chubb auckland uni - b201","490a - comms"
,,"477 - Tech teaching",,"477 - tech teaching","building north","level 4 zone b","chubb auckland uni - b201"
,,"471 - SCI Hub",,"building north","level 4 zone b","471 - sci hub","chubb auckland uni - b201"
,,"467 - Store",,"467 - store","building north","level 4 zone b","chubb auckland uni - b201"
,,"465 - Visual Art &Tech",,"building north","level 4 zone b","465 - visual art &tech","chubb auckland uni - b201"
,,"463 - Materials Work",,"building north","level 4 zone b","463 - materials work","chubb auckland uni - b201"
,,"400L6 - Lobby",,"building north","level 4 zone b","chubb auckland uni - b201","400l6 - lobby"
,,"497 - Plantroom",,"building north","level 4 zone b","497 - plantroom","chubb auckland uni - b201"
,,"Level 5 Zone B","grouping","level 5 zone b","chubb auckland uni - b201","building north"
,,"500C8 - Circulation",,"level 5 zone b","building north","chubb auckland uni - b201","500c8 - circulation"
,,"590 - DB",,"level 5 zone b","building north","chubb auckland uni - b201","590 - db"
,,"590A - Comms",,"level 5 zone b","building north","chubb auckland uni - b201","590a - comms"
,,"582 - One Button",,"level 5 zone b","building north","582 - one button","chubb auckland uni - b201"
,,"584 - PGR",,"level 5 zone b","building north","chubb auckland uni - b201","584 - pgr"
,,"586 - PGR",,"level 5 zone b","586 - pgr","building north","chubb auckland uni - b201"
,,"500C9 - Circulation",,"level 5 zone b","building north","500c9 - circulation","chubb auckland uni - b201"
,,"500L4 - Lobby",,"level 5 zone b","500l4 - lobby","building north","chubb auckland uni - b201"
,,"Level 6 Zone B","grouping","chubb auckland uni - b201","building north","level 6 zone b"
,,"676 - XRF",,"676 - xrf","building north","level 6 zone b","chubb auckland uni - b201"
,,"600L5 - Lobby",,"building north","level 6 zone b","600l5 - lobby","chubb auckland uni - b201"
,,"690 - DB",,"building north","level 6 zone b","chubb auckland uni - b201","690 - db"
,,"690A - Comms",,"690a - comms","building north","level 6 zone b","chubb auckland uni - b201"
,,"679 - Molecular PCI",,"building north","level 6 zone b","chubb auckland uni - b201","679 - molecular pci"
,,"674 - Freezers",,"674 - freezers","building north","level 6 zone b","chubb auckland uni - b201"
,,"677 - Zoo Archaeology",,"building north","level 6 zone b","chubb auckland uni - b201","677 - zoo archaeology"
,,"672 - Microscopy Lab",,"building north","level 6 zone b","672 - microscopy lab","chubb auckland uni - b201"
,,"671 - Research Lab",,"building north","level 6 zone b","671 - research lab","chubb auckland uni - b201"
,,"670 - Artefact Store",,"building north","level 6 zone b","670 - artefact store","chubb auckland uni - b201"
,,"668 - Field Store",,"668 - field store","building north","level 6 zone b","chubb auckland uni - b201"
,,"667 - Arch Process Lab",,"building north","level 6 zone b","667 - arch process lab","chubb auckland uni - b201"
,,"666 - Photography Studio",,"666 - photography studio","building north","level 6 zone b","chubb auckland uni - b201"
,,"664 - Scanner Studio",,"664 - scanner studio","building north","level 6 zone b","chubb auckland uni - b201"
,,"662 - Spatial Lab",,"building north","level 6 zone b","662 - spatial lab","chubb auckland uni - b201"
,,"600L4 - Lobby",,"building north","level 6 zone b","600l4 - lobby","chubb auckland uni - b201"
,,"661 - Arch Teaching Lab",,"building north","level 6 zone b","661 - arch teaching lab","chubb auckland uni - b201"
,,"Level 7 Zone B","grouping","level 7 zone b","chubb auckland uni - b201","building north"
,,"790 - DB",,"building north","level 7 zone b","chubb auckland uni - b201","790 - db"
,,"790A - Comms",,"building north","level 7 zone b","chubb auckland uni - b201","790a - comms"
,,"779 - Biological Teaching",,"building north","level 7 zone b","779 - biological teaching","chubb auckland uni - b201"
,,"700L5 - Lobby",,"building north","level 7 zone b","chubb auckland uni - b201","700l5 - lobby"
,,"762 - Plantroom",,"building north","level 7 zone b","762 - plantroom","chubb auckland uni - b201"
,,"773 - Biocultural Research",,"building north","773 - biocultural research","level 7 zone b","chubb auckland uni - b201"
,,"771 - Human Osteology",,"building north","level 7 zone b","chubb auckland uni - b201","771 - human osteology"
,,"767 - Sarlac Lab",,"767 - sarlac lab","building north","level 7 zone b","chubb auckland uni - b201"
,,"765 - Lobby",,"building north","765 - lobby","level 7 zone b","chubb auckland uni - b201"
,,"762 - Plantroom",,"building north","level 7 zone b","762 - plantroom","chubb auckland uni - b201"
,,"700L4 - Lobby",,"building north","700l4 - lobby","level 7 zone b","chubb auckland uni - b201"
,,"761 - Wet Organic Lab",,"building north","761 - wet organic lab","level 7 zone b","chubb auckland uni - b201"
,,"Level 8 Zone B","grouping","chubb auckland uni - b201","building north","level 8 zone b"
,,"862 - Plantroom",,"862 - plantroom","building north","level 8 zone b","chubb auckland uni - b201"
,,"902 - ACC Toilet",,"building north","level 8 zone b","902 - acc toilet","chubb auckland uni - b201"
,"Columns"
,,"Pre wired",,"pre wired"
,,"Cables Located",,"cables located"
,,"First Fix Complete",,"first fix complete"
,,"Ready for second fix",,"ready for second fix"
,,"Second Fix complete",,"second fix complete"
,,"Pre commissioned",,"pre commissioned"
,,"Report sent to client",,"report sent to client"

"Chubb: Overall Progress (Building East)"
,"Scope",,
,"Rows"
,,"Level 1 Zone A","grouping","level 1 zone a","chubb auckland uni - b201","building b201 east"
,,"201-112 MECO/Black Box",,"level 1 zone a","201-112 meco/black box","chubb auckland uni - b201","building b201 east"
,,"201-100 Bike Store",,"level 1 zone a","201-100 bike store","chubb auckland uni - b201","building b201 east"
,,"201-100C1 Corridor",,"level 1 zone a","201-100c1 corridor","chubb auckland uni - b201","building b201 east"
,,"201-101 EOT",,"level 1 zone a","201-101 eot","chubb auckland uni - b201","building b201 east"
,,"201-100L3 Lift Lobby",,"level 1 zone a","chubb auckland uni - b201","201-100l3 lift lobby","building b201 east"
,,"201-100 Bike Store",,"level 1 zone a","201-100 bike store","chubb auckland uni - b201","building b201 east"
,,"201-100S3 Stair 3",,"level 1 zone a","chubb auckland uni - b201","201-100s3 stair 3","building b201 east"
,,"201-109 Refuse & Recycling",,"level 1 zone a","201-109 refuse & recycling","chubb auckland uni - b201","building b201 east"
,,"201-100L2 Lobby",,"level 1 zone a","201-100l2 lobby","chubb auckland uni - b201","building b201 east"
,,"201-192 Plantroom",,"level 1 zone a","201-192 plantroom","chubb auckland uni - b201","building b201 east"
,,"201-191 Bike Store",,"level 1 zone a","201-191 bike store","chubb auckland uni - b201","building b201 east"
,,"201-109 Refuse & Recycling",,"level 1 zone a","201-109 refuse & recycling","chubb auckland uni - b201","building b201 east"
,,"201-192 Plantroom",,"level 1 zone a","201-192 plantroom","chubb auckland uni - b201","building b201 east"
,,"201-100L6 Lift Lobby",,"level 1 zone a","201-100l6 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-132 Dance Studio 2",,"level 1 zone a","chubb auckland uni - b201","201-132 dance studio 2","building b201 east"
,,"201-140B Post Grad",,"level 1 zone a","201-140b post grad","chubb auckland uni - b201","building b201 east"
,,"201-132 Dance Studio 2",,"level 1 zone a","chubb auckland uni - b201","201-132 dance studio 2","building b201 east"
,,"201-140A Post Grad Studio",,"level 1 zone a","201-140a post grad studio","chubb auckland uni - b201","building b201 east"
,,"201-140B Post Grad",,"level 1 zone a","201-140b post grad","chubb auckland uni - b201","building b201 east"
,,"201-131 Breakout",,"level 1 zone a","201-131 breakout","chubb auckland uni - b201","building b201 east"
,,"201-140B Post Grad",,"level 1 zone a","201-140b post grad","chubb auckland uni - b201","building b201 east"
,,"201-100L5 Wind Lobby",,"level 1 zone a","201-100l5 wind lobby","chubb auckland uni - b201","building b201 east"
,,"201-100S4 Stair 4",,"level 1 zone a","201-100s4 stair 4","chubb auckland uni - b201","building b201 east"
,,"201-124 Comms",,"level 1 zone a","chubb auckland uni - b201","building b201 east","201-124 comms"
,,"201-100L4 Lift Lobby",,"level 1 zone a","201-100l4 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-123 Breakout",,"level 1 zone a","201-123 breakout","chubb auckland uni - b201","building b201 east"
,,"201-121 EDSW Studio",,"level 1 zone a","201-121 edsw studio","chubb auckland uni - b201","building b201 east"
,,"201-130 Dance Studio 1",,"level 1 zone a","201-130 dance studio 1","chubb auckland uni - b201","building b201 east"
,,"201-122 Performing Arts",,"level 1 zone a","201-122 performing arts","chubb auckland uni - b201","building b201 east"
,,"201-120 Studio",,"level 1 zone a","201-120 studio","chubb auckland uni - b201","building b201 east"
,,"Level 2 Zone A","grouping","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"201-200S3 Stair 3",,"201-200s3 stair 3","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"201-201 Rehearsal Studio",,"level 2 zone a","chubb auckland uni - b201","201-201 rehearsal studio","building b201 east"
,,"201-200L5 Lift Lobby",,"201-200l5 lift lobby","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"201-200L6 Lobby",,"201-200l6 lobby","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"201-200C6 Circulation",,"201-200c6 circulation","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"201-240 Post Grad",,"level 2 zone a","chubb auckland uni - b201","201-240 post grad","building b201 east"
,,"201-200S4 Stair 4",,"level 2 zone a","201-200s4 stair 4","chubb auckland uni - b201","building b201 east"
,,"201-200L4 Lift Lobby",,"201-200l4 lift lobby","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"201-224 Comms",,"201-224 comms","level 2 zone a","chubb auckland uni - b201","building b201 east"
,,"Level 3 Zone A","grouping","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-311 Pool Teaching",,"201-311 pool teaching","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-326 Pool teaching",,"201-326 pool teaching","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-302 ACC Toilet",,"201-302 acc toilet","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-300C6 Circulation",,"201-300c6 circulation","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-320 PC Computer Lab",,"201-320 pc computer lab","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-300C8 Circulation",,"201-300c8 circulation","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-330 Mac Computer Lab",,"201-330 mac computer lab","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-330A Server Rm",,"level 3 zone a","chubb auckland uni - b201","201-330a server rm","building b201 east"
,,"201-330 Mac Computer Lab",,"201-330 mac computer lab","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-300L6 Lobby",,"201-300l6 lobby","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-361A EDSW Store",,"level 3 zone a","chubb auckland uni - b201","201-361a edsw store","building b201 east"
,,"201-300S5 Stair 5",,"201-300s5 stair 5","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-300C10 Circulation",,"201-300c10 circulation","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-342 Pool teaching",,"201-342 pool teaching","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-341 Pool teaching",,"201-341 pool teaching","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-334 Pool teaching",,"201-334 pool teaching","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-326 Pool teaching",,"201-326 pool teaching","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-324 Comms",,"201-324 comms","level 3 zone a","chubb auckland uni - b201","building b201 east"
,,"201-317 Pool teaching",,"level 3 zone a","201-317 pool teaching","chubb auckland uni - b201","building b201 east"
,,"Level 4 Zone A","grouping","level 4 zone a","chubb auckland uni - b201","building b201 east"
,,"201-417 Shared Open Plan",,"level 4 zone a","201-417 shared open plan","chubb auckland uni - b201","building b201 east"
,,"201-402 ACC Toilet",,"level 4 zone a","201-402 acc toilet","chubb auckland uni - b201","building b201 east"
,,"201-400C5 Circulation",,"201-400c5 circulation","level 4 zone a","chubb auckland uni - b201","building b201 east"
,,"201-420 Print",,"level 4 zone a","201-420 print","chubb auckland uni - b201","building b201 east"
,,"201-430 Breakout",,"level 4 zone a","201-430 breakout","chubb auckland uni - b201","building b201 east"
,,"201-400C4 Circulation",,"level 4 zone a","201-400c4 circulation","chubb auckland uni - b201","building b201 east"
,,"201-400C5 Circulation",,"201-400c5 circulation","level 4 zone a","chubb auckland uni - b201","building b201 east"
,,"201-400L5 Lift Lobby",,"201-400l5 lift lobby","level 4 zone a","chubb auckland uni - b201","building b201 east"
,,"201-439 Breakout",,"level 4 zone a","201-439 breakout","chubb auckland uni - b201","building b201 east"
,,"201-440 Large teaching",,"level 4 zone a","201-440 large teaching","chubb auckland uni - b201","building b201 east"
,,"201-439 Breakout",,"level 4 zone a","201-439 breakout","chubb auckland uni - b201","building b201 east"
,,"201-424 Comms",,"level 4 zone a","chubb auckland uni - b201","201-424 comms","building b201 east"
,,"201-400C7 Breakout",,"level 4 zone a","201-400c7 breakout","chubb auckland uni - b201","building b201 east"
,,"Level 5 Zone A","grouping","level 5 zone a","chubb auckland uni - b201","building b201 east"
,,"201-517 SOP",,"201-517 sop","level 5 zone a","chubb auckland uni - b201","building b201 east"
,,"201-532 PGR",,"level 5 zone a","201-532 pgr","chubb auckland uni - b201","building b201 east"
,,"201-510 PGR",,"level 5 zone a","chubb auckland uni - b201","building b201 east","201-510 pgr"
,,"201-502 ACC Toilet",,"201-502 acc toilet","level 5 zone a","chubb auckland uni - b201","building b201 east"
,,"201-500C1 Circulation",,"level 5 zone a","chubb auckland uni - b201","building b201 east","201-500c1 circulation"
,,"201-500L1 Lift Lobby",,"201-500l1 lift lobby","level 5 zone a","chubb auckland uni - b201","building b201 east"
,,"201-500L3 Lift Lobby",,"level 5 zone a","201-500l3 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-552 PGR",,"level 5 zone a","201-552 pgr","chubb auckland uni - b201","building b201 east"
,,"201-548 SOP",,"level 5 zone a","201-548 sop","chubb auckland uni - b201","building b201 east"
,,"201-531 PGR",,"level 5 zone a","chubb auckland uni - b201","201-531 pgr","building b201 east"
,,"201-500L2 Lift Lobby",,"level 5 zone a","201-500l2 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-524 Comms",,"level 5 zone a","201-524 comms","chubb auckland uni - b201","building b201 east"
,,"Level 6 Zone A","grouping","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-602 ACC Toilet",,"201-602 acc toilet","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-600L1 Lift Lobby",,"201-600l1 lift lobby","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-610 PGR",,"level 6 zone a","chubb auckland uni - b201","201-610 pgr","building b201 east"
,,"201-632 PGR",,"201-632 pgr","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-631 PGR",,"level 6 zone a","201-631 pgr","chubb auckland uni - b201","building b201 east"
,,"201-600L3 Lift Lobby",,"201-600l3 lift lobby","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-652 PGR",,"201-652 pgr","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-648 SOP",,"201-648 sop","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-600L2 Lift Lobby",,"201-600l2 lift lobby","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-624 Comms",,"201-624 comms","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"201-617 SOP",,"201-617 sop","level 6 zone a","chubb auckland uni - b201","building b201 east"
,,"Level 7 Zone A","grouping","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-702 ACC Toilet",,"level 7 zone a","chubb auckland uni - b201","201-702 acc toilet","building b201 east"
,,"201-700L1 Lift Lobby",,"201-700l1 lift lobby","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-710 PGR",,"201-710 pgr","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-732 PGR",,"201-732 pgr","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-731 PGR",,"201-731 pgr","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-700L3 Lift Lobby",,"level 7 zone a","201-700l3 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-752 PGR",,"201-752 pgr","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-748B Deans Office",,"level 7 zone a","chubb auckland uni - b201","201-748b deans office","building b201 east"
,,"201-700L2 Lift Lobby",,"201-700l2 lift lobby","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-724 Comms",,"201-724 comms","level 7 zone a","chubb auckland uni - b201","building b201 east"
,,"201-717 SOP",,"level 7 zone a","chubb auckland uni - b201","201-717 sop","building b201 east"
,,"Level 8 Zone A","grouping","level 8 zone a","chubb auckland uni - b201","building b201 east"
,,"201-802 ACC Toilet",,"level 8 zone a","201-802 acc toilet","chubb auckland uni - b201","building b201 east"
,,"201-800L1 Lift Lobby",,"level 8 zone a","201-800l1 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-810 PGR",,"level 8 zone a","201-810 pgr","chubb auckland uni - b201","building b201 east"
,,"201-832 PGR",,"level 8 zone a","201-832 pgr","chubb auckland uni - b201","building b201 east"
,,"201-831 PGR",,"level 8 zone a","201-831 pgr","chubb auckland uni - b201","building b201 east"
,,"201-800L3 Lift Lobby",,"level 8 zone a","chubb auckland uni - b201","201-800l3 lift lobby","building b201 east"
,,"201-852 PGR",,"level 8 zone a","201-852 pgr","chubb auckland uni - b201","building b201 east"
,,"201-848 SOP",,"level 8 zone a","201-848 sop","chubb auckland uni - b201","building b201 east"
,,"201-800L2 Lift Lobby",,"level 8 zone a","201-800l2 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-824 Comms",,"level 8 zone a","201-824 comms","chubb auckland uni - b201","building b201 east"
,,"201-817 SOP",,"level 8 zone a","201-817 sop","chubb auckland uni - b201","building b201 east"
,,"Level 9 Zone A","grouping","chubb auckland uni - b201","level 9 zone a","building b201 east"
,,"201-900S7 Stair 7",,"level 9 zone a","201-900s7 stair 7","chubb auckland uni - b201","building b201 east"
,,"201-900L1 Lift Lobby",,"level 9 zone a","201-900l1 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-910 PGR",,"level 9 zone a","201-910 pgr","chubb auckland uni - b201","building b201 east"
,,"201-932 PGR",,"201-932 pgr","level 9 zone a","chubb auckland uni - b201","building b201 east"
,,"201-931 PGR",,"level 9 zone a","201-931 pgr","chubb auckland uni - b201","building b201 east"
,,"201-900L3 Lift Lobby",,"level 9 zone a","chubb auckland uni - b201","building b201 east","201-900l3 lift lobby"
,,"201-900S8 Stair 8",,"level 9 zone a","chubb auckland uni - b201","201-900s8 stair 8","building b201 east"
,,"201-955 ACC Toilet",,"level 9 zone a","chubb auckland uni - b201","201-955 acc toilet","building b201 east"
,,"201-952 PGR",,"level 9 zone a","201-952 pgr","chubb auckland uni - b201","building b201 east"
,,"201-948 SOP",,"level 9 zone a","201-948 sop","chubb auckland uni - b201","building b201 east"
,,"201-800L2 Lift Lobby",,"level 9 zone a","201-800l2 lift lobby","chubb auckland uni - b201","building b201 east"
,,"201-924 Comms",,"level 9 zone a","201-924 comms","chubb auckland uni - b201","building b201 east"
,,"201-917 SOP",,"level 9 zone a","chubb auckland uni - b201","building b201 east","201-917 sop"
,,"Level 10 Zone A","grouping","level 10 zone a","chubb auckland uni - b201","building b201 east"
,,"201-1000L1 Plantroom",,"201-1000l1 plantroom","level 10 zone a","chubb auckland uni - b201","building b201 east"
,,"201-1000L3 Plantroom",,"201-1000l3 plantroom","level 10 zone a","chubb auckland uni - b201","building b201 east"
,,"201-1000S8 Stair 8",,"201-1000s8 stair 8","level 10 zone a","chubb auckland uni - b201","building b201 east"
,,"201-1000S7 Stair 7",,"level 10 zone a","201-1000s7 stair 7","chubb auckland uni - b201","building b201 east"
,,"Level 11 Zone A","grouping","chubb auckland uni - b201","level 11 zone a","building b201 east"
,,"201-1101 Plantroom",,"201-1101 plantroom","chubb auckland uni - b201","level 11 zone a","building b201 east"
,"Columns"
,,"Pre wired",,"pre wired"
,,"Cables Located",,"cables located"
,,"First Fix Complete",,"first fix complete"
,,"Ready for second fix",,"ready for second fix"
,,"Second Fix complete",,"second fix complete"
,,"Pre commissioned",,"pre commissioned"
,,"Report sent to client",,"report sent to client"

